target_class,classification,color,count,location,material,other
Maxim 커피믹스 박스,0,0,0,0,1,0
McCOL 500mL x 6 상자,0,0,0,0,0,1
OPT-FREE 하이드라모이스트 용기,0,0,0,0,1,0
PET(폴리에틸렌 테레프탈레이트),0,0,0,0,1,0
SPAM 종이 쇼핑백,0,0,0,0,1,0
TEAZLE,1,0,0,0,0,0
TEAZLE 음료수 병,0,0,0,0,1,0
Welch`s 포도맛 캔,1,0,0,0,0,0
Werther`s Original 캔디 포장지,1,0,0,0,0,0
가방 옆에 있다,0,0,0,1,0,0
가운데 줄 중간에 있는 투명 봉투,0,0,0,1,0,0
가운데와 오른쪽의 플라스틱 컵,0,0,0,0,1,0
간장 병,1,0,0,0,0,0
간장 소스가 담긴 작은 플라스틱 봉지,1,0,0,0,0,0
갈색,0,3,0,0,0,0
갈색 종이 상자,0,0,0,0,2,0
갈색 종이 쇼핑백,0,0,0,0,1,0
갈색 종이봉투,0,0,0,0,3,0
갈색 택배 상자,0,0,0,0,1,0
갈색과 노란색,0,1,0,0,0,0
갈색과 흰색이 섞인 종이 상자,0,0,0,0,1,0
감귤,1,0,0,0,0,0
감자칩 캔,0,0,0,0,1,0
감자칩 통,1,0,0,0,0,0
건전지,4,0,0,0,1,0
건전지 4개,1,0,0,0,0,0
검은 통 안,0,0,0,1,0,0
검은 통 옆 바닥에 있음,0,0,0,1,0,0
검은 플라스틱 상자 위,0,0,0,1,0,0
검은색,0,5,0,0,0,0
검은색 금속 캔,0,0,0,0,1,0
검은색 뚜껑이 있는 병,1,0,0,0,0,0
검은색 뚜껑이 있는 음료수 병,0,0,0,0,1,0
검은색 립밤 용기,1,0,0,0,0,0
검은색 마스크 포장 비닐,1,0,0,0,0,0
검은색 바탕에 흰색 글씨,0,1,0,0,0,0
검은색 사각형 용기,0,0,0,0,1,0
검은색 숟가락 2개,0,0,0,0,1,0
검은색 용기,0,0,0,0,1,0
검은색 용기와 투명한 용기들,0,0,0,0,1,0
검은색 자동차 앞 바퀴 옆,0,0,0,1,0,0
검은색 캔,0,0,0,0,1,0
검은색 커피 스틱 포장 박스,0,0,0,0,1,0
검은색 커피 종이컵,0,0,0,0,1,0
검은색 통 위,0,0,0,1,0,0
검은색 포크,0,0,0,0,1,0
검은색 플라스틱 도시락 용기,1,0,0,0,0,0
검은색 플라스틱 숟가락과 종이 재질 용기,0,0,0,0,1,0
검은색 플라스틱 씨앗 트레이 2개,0,0,0,0,1,0
검은색 플라스틱 용기,1,0,0,0,1,0
검은색 플라스틱 펜,0,0,0,0,1,0
검은색 플라스틱 포크,1,0,0,0,1,0
검은색과 하늘색,0,1,0,0,0,0
"검은색은 플라스틱, 노란색은 플라스틱",1,0,0,0,0,0
검은콩 두유,0,0,0,0,0,1
검정,0,1,0,0,0,0
"검정, 분홍, 파랑",0,1,0,0,0,0
검정색과 갈색,0,1,0,0,0,0
검정색과 파란색,0,1,0,0,0,0
검정색과 흰색,0,1,0,0,0,0
격자무늬가 있는 종이,1,0,0,0,0,0
계단 옆 바닥에 쌓여 있다,0,0,0,1,0,0
계단 위 왼쪽 모서리에 놓여 있다.,0,0,0,1,0,0
계단 위에 검은색 뚜껑이 있는 용기,0,0,0,1,0,0
계란 상자,1,0,0,0,0,0
계란판,1,0,0,0,11,0
계란판과 박스,0,0,0,0,2,0
계란판과 상자,0,0,0,0,1,0
계란판과 종이 상자,0,0,0,0,1,0
계란판과 종이박스,0,0,0,0,1,0
계란판과 종이상자,0,0,0,0,3,0
계란판과 피자 상자,0,0,0,0,1,0
고무,0,0,0,0,1,0
고소미 과자 상자,1,0,0,0,0,0
고양이 화장실,1,0,0,0,0,0
고추장,1,0,0,0,0,0
고추장 통,0,0,0,0,1,0
골판지 박스,0,0,0,0,1,0
골판지 상자,3,0,0,0,2,0
골판지 상자와 종이 쇼핑백,0,0,0,0,1,0
골판지 상자와 종이봉투,1,0,0,0,0,0
골판지 조각,0,0,0,0,1,0
과일 그림이 그려진 종이 상자,0,0,0,0,1,0
과일주스 캔,1,0,0,0,0,0
과자 봉지,3,0,0,0,1,0
과자 상자,2,0,0,0,5,0
관목 사이 땅 위에,0,0,0,1,0,0
광고 전단지,0,0,0,0,2,0
금색,0,1,0,0,0,0
금속,14,0,0,0,34,0
금속 상자,0,0,0,0,1,0
금속 캔,12,0,0,0,22,0
금속 캔 1개,0,0,0,0,1,0
금속 캔 두 개,0,0,0,0,1,0
금속 캔 용기,0,0,0,0,1,0
금속 캔 음료,0,0,0,0,1,0
금속 캔 형태의 용기,0,0,0,0,1,0
금속 캔은 빨간색과 금색이 섞여 있다.,0,1,0,0,0,0
금속 케이스,0,0,0,0,1,0
금속 텀블러,1,0,0,0,0,0
금속 포일,0,0,0,0,1,0
금속(알루미늄 캔),2,0,0,0,1,0
금속(캔),2,0,0,0,2,0
금속류,2,0,0,0,0,0
기둥 왼쪽 바닥에 놓여 있음,0,0,0,1,0,0
기분 물 DEEP WATER 종이팩,1,0,0,0,0,0
기픈 물 DEEP WATER 종이팩,0,0,0,0,0,1
길가에 세워진 박스 안,0,0,0,1,0,0
길가의 낙엽 위,0,0,0,2,0,0
김밥,0,0,0,0,0,1
깨진 유리판,0,0,0,0,1,0
꿀홍삼 음료,1,0,0,0,0,0
끈으로 묶여 있음,1,0,0,0,0,0
나무 가지 사이 땅 위,0,0,0,1,0,0
나무 밑 흙 위에 누워 있다.,0,0,0,1,0,0
나무 선반 아래 바닥에 있는 흰색 용기,0,0,0,0,1,0
나무 선반 위,0,0,0,1,0,0
나무 아래 땅 위,0,0,0,1,0,0
나무 아래 흙 위,0,0,0,1,0,0
나무 옆 땅바닥에 쌓여 있다,0,0,0,1,0,0
나무 옆 바닥에 놓여 있다.,0,0,0,1,0,0
나무 옆 흙 위,0,0,0,1,0,0
나무 오른쪽의 흰 상자 옆에 세워진 판지들,0,0,0,1,0,0
나무 젓가락 두 개,1,0,0,0,0,0
나무 조각,1,0,0,0,0,0
나무 주변 땅 위,0,0,0,1,0,0
나무 테이블 왼쪽,0,0,0,1,0,0
냄비 뚜껑,0,0,0,0,1,0
네 장 이상,0,0,0,0,0,1
노란 뚜껑의 금속 캔,0,0,0,0,1,0
노란 벽 앞 테이블 위,0,0,0,1,0,0
노란 빨대가 꽂힌 투명 컵,0,0,0,0,1,0
노란색,2,26,0,0,0,7
노란색 과자 상자,0,0,0,0,1,0
노란색 뚜껑과 투명한 병,0,1,0,0,0,0
노란색 뚜껑이 있는 금속 용기,0,0,0,0,1,0
노란색 뚜껑이 있는 초록색 플라스틱 용기,0,0,0,0,1,0
노란색 리코리스 박스,0,0,0,0,1,0
노란색 바구니,0,0,0,0,1,0
노란색 빨대,1,0,0,0,5,0
노란색 빨대가 꽂힌 투명 컵,1,0,0,0,1,0
노란색 사탕 봉지,1,0,0,0,0,0
노란색 상자,0,0,0,0,2,0
노란색 상자 포장재,0,0,0,0,1,0
노란색 알루미늄 용기,0,0,0,0,1,0
노란색 종이 포장지,0,0,0,0,1,0
노란색 캔,1,0,0,0,0,0
노란색 풀 튜브,0,0,0,0,1,0
노란색 플라스틱 빨대,1,0,0,0,0,0
"노란색, 갈색, 초록색, 흰색",0,1,0,0,0,0
노란색과 분홍색,0,10,0,0,0,0
노란색과 빨간색,0,2,0,0,0,0
노란색과 빨간색이 섞인 사각형 용기,0,0,0,0,1,0
노란색과 초록색,0,4,0,0,0,0
노란색과 파란색,0,1,0,0,0,0
노란색과 흰색이 섞인 종이 포장지,0,0,0,0,1,0
노란색과 흰색이 섞인 종이봉투,0,0,0,0,1,0
노란색과 흰색이 섞인 카드 박스,0,0,0,0,1,0
녹색,0,3,0,0,0,0
녹색 과자 봉지,1,0,0,0,0,0
녹색 그물망 안의 신문과 종이류,0,0,0,0,1,0
녹색 뚜껑이 있는 작은 쓰레기통,0,0,0,0,1,0
녹색 문 앞 바닥에 쌓여 있다,0,0,0,1,0,0
녹색 비닐봉지 옆에 놓여 있다.,0,0,0,1,0,0
녹색 유리병,1,0,0,0,0,0
녹색 캔,0,0,0,0,1,0
녹색 캔 음료수,0,0,0,0,1,0
녹색 캔 한 개,0,0,0,0,1,0
녹색 캡이 달린 알루미늄 튜브,0,0,0,0,1,0
녹색 페트병과 투명 플라스틱 컵,0,0,0,0,1,0
"녹색, 투명, 갈색",0,1,0,0,0,0
닥터 페퍼,0,0,0,0,0,1
담배갑,1,0,0,0,1,0
담배꽁초,1,0,0,0,0,0
대나무 칫솔과 유리병,1,0,0,0,0,0
덴타탁 액티브 상자,0,0,0,0,1,0
도넛 상자,0,0,0,0,1,0
도자기류,1,0,0,0,0,0
돌담 위에 빨간 빨대가 꽂힌 플라스틱 컵,0,0,0,1,0,0
돔형 뚜껑,0,0,0,0,0,1
두 상자 모두 재활용 가능,0,0,0,0,0,1
두 상자 모두 종이 재활용이다.,1,0,0,0,0,0
두 용기 모두 종이류,1,0,0,0,0,0
"두 컵 모두 플라스틱 재질이며, 노란색 빨대가 꽂혀 있다.",1,0,0,0,0,0
두유,1,0,0,0,0,4
두유 종이팩,1,0,0,0,0,0
둘 다 플라스틱 재질,0,0,0,0,1,0
디퓨저 병,0,0,0,0,0,1
딸기 맛,0,0,0,0,0,1
딸기맛 스틱 캔디 상자,1,0,0,0,0,0
딸기와 사람들 그림,0,0,0,0,0,1
뚜껑,0,0,0,0,1,0
뚜껑과 빨대가 모두 플라스틱 재질이다.,1,0,0,0,0,0
뚜껑과 빨대가 모두 플라스틱으로 되어 있다.,3,0,0,0,0,0
뚜껑과 빨대가 있는 투명 컵,0,0,0,0,1,0
뚜껑과 빨대가 있는 투명 플라스틱 컵,1,0,0,0,0,0
뚜껑과 빨대가 있는 플라스틱 컵,2,0,0,0,0,0
뚜껑과 빨대가 포함되어 있다.,0,0,0,0,0,1
뚜껑과 빨대가 플라스틱으로 되어 있다,0,0,0,0,0,1
"뚜껑은 투명, 빨대는 노란색",0,5,0,0,0,0
"뚜껑은 투명, 빨대는 빨간색",0,1,0,0,0,0
"뚜껑은 투명, 빨대는 초록색",0,1,0,0,0,0
뚜껑이 열려 있음,1,0,0,0,0,0
뚜껑이 있고 빨대가 꽂혀 있다.,0,0,0,1,0,0
뚜껑이 있고 빨대가 꽂혀 있음,0,0,0,0,0,1
뚜껑이 있고 빨대가 노란색이다.,1,0,0,0,0,0
뚜껑이 있는 사각 용기,1,0,0,0,0,0
뚜껑이 있는 투명한 플라스틱 컵,1,0,0,0,0,0
뚜껑이 있는 플라스틱 컵,1,0,0,0,0,0
뚜껑이 있는 흰색 플라스틱 용기,1,0,0,0,0,0
뚜껑이 초록색인 투명 플라스틱 병,0,0,0,0,0,1
뚜껑이 플라스틱이고 빨대가 꽂혀 있다.,1,0,0,0,0,0
뚜껑이 플라스틱이고 빨대가 꽂혀 있음,1,0,0,0,0,0
"라면 용기: 플라스틱, 만두 포장재: 비닐",1,0,0,0,0,0
레몬맛,1,0,0,0,0,0
록스 글라스와 하이볼 글라스,1,0,0,0,0,0
롯데 롯세 파인애플 과자 상자,0,0,0,0,1,0
롯데 마가렛트 오리지널 쿠키 상자,0,0,0,0,1,0
립 케어 스틱,1,0,0,0,0,0
립밤 용기,1,0,0,0,0,0
립밤 튜브,1,0,0,0,0,0
마커 8색이 들어있는 플라스틱 케이스,0,0,0,0,1,0
말린 종이 뭉치,0,0,0,0,1,0
말차 음료,0,0,0,0,0,1
망고맛,1,0,0,0,0,0
매일 두유 종이팩,1,0,0,0,0,0
매일두유,0,0,0,0,0,1
맥주,2,0,0,0,0,0
맥주 캔,2,0,0,0,0,0
멀티비타민 슈퍼샷 병,0,0,0,0,1,0
명함,1,0,0,0,0,0
모니터 클리닝 일회용 티슈 상자,0,0,0,0,1,0
모두 종이 재질이다,0,0,0,0,1,0
모두 종이류로 분류된다,1,0,0,0,0,0
모두 플라스틱 재질이다,0,0,0,0,1,0
몬스터 에너지 음료 캔,1,0,0,0,0,0
몬스터 에너지 캔,1,0,0,0,0,0
무선 이어폰 케이스,1,0,0,0,0,0
묶여 있는 골판지 상자들,1,0,0,0,0,0
문 앞 바닥에 놓여 있다,0,0,0,1,0,0
물,0,0,0,0,0,1
물병,0,0,0,0,3,0
물티슈 케이스,1,0,0,0,0,0
물티슈 포장,1,0,0,0,0,0
밀키스 캔,1,0,0,0,0,0
바나나맛,0,0,0,0,0,2
바닥 위,0,0,0,1,0,0
"바닥 위, 오른쪽에 위치한 초록색 병",0,0,0,1,0,0
바닥 중앙,0,0,0,1,0,0
바닥 중앙에 쌓여 있음,0,0,0,1,0,0
바닥에 놓여 있음,0,0,0,3,0,0
바닥에 놓인 상자 안,0,0,0,1,0,0
바닥에 쌓여 있다,0,0,0,1,0,0
바닥에 펼쳐진 판지 위,0,0,0,1,0,0
바닥에 흰색 용기,0,0,0,1,0,0
바위 위,0,0,0,1,0,0
박스,1,0,0,0,3,0
박스 상자,0,0,0,0,2,0
박스 안,0,0,0,1,0,0
박스 안쪽에 들어있다,0,0,0,1,0,0
박스 형태,0,0,0,0,0,2
박스 형태로 쌓여 있음,0,0,0,0,0,1
박스 형태로 접혀서 쌓여 있음,0,0,0,0,0,1
박스 형태의 종이,0,0,0,0,0,1
박스와 종이책자,0,0,0,0,0,1
박스와 펼쳐진 골판지,1,0,0,0,0,0
"발포 스티로폼은 플라스틱, 플라스틱 용기는 플라스틱",0,0,0,0,1,0
버터 와플 상자,0,0,0,0,1,0
벤치 앞 바닥에 있다.,0,0,0,1,0,0
벤치 위,0,0,0,1,0,0
벽 옆 바닥에 놓여 있다,0,0,0,1,0,0
벽과 바닥 모서리 사이에 있는 흰색 종이봉투,0,0,0,1,0,0
벽과 배관 사이 바닥에 있음,0,0,0,1,0,0
"병 1개, 캔 1개",0,0,1,0,0,0
보도블록 위에 놓여 있다,0,0,0,1,0,0
보라색,0,13,0,0,0,0
보라색 상자,0,0,0,0,1,0
보라색 알루미늄 포장지,1,0,0,0,0,0
보라색 플라스틱 볼펜,1,0,0,0,0,0
보라색과 분홍색,0,1,0,0,0,0
복사용지 뭉치,1,0,0,0,0,0
복숭아 맛,0,0,0,0,0,2
복숭아 맛 음료,0,0,0,0,0,1
복숭아 허니 그린티 음료 파우치,0,0,0,0,1,0
부분적으로 찢어진 종이,1,0,0,0,0,0
분홍색,0,26,0,0,0,4
분홍색 뚜껑,0,1,0,0,0,0
분홍색 종이컵 홀더,0,0,0,0,1,0
분홍색 종이컵과 노란색 컵홀더,0,0,0,0,1,0
분홍색 컵 뚜껑,0,0,0,0,1,0
분홍색 토끼 캐릭터,1,0,0,0,0,0
분홍색 화장품 상자,0,0,0,0,1,0
분홍색과 갈색의 컵 홀더 2개,0,0,0,0,1,0
분홍색과 노란색,0,2,0,0,0,0
분홍색과 보라색,0,1,0,0,0,0
분홍색과 빨간색,0,1,0,0,0,0
분홍색과 하늘색,0,1,0,0,0,0
분홍색과 흰색,0,1,0,0,0,0
불닭볶음면,1,0,0,0,0,0
불에 타는 소화기 옆에 있는 구겨진 종이,1,0,0,0,0,0
비닐 랩,1,0,0,0,0,0
비닐 포장지,1,0,0,0,0,0
비닐 플라스틱,0,0,0,0,1,0
비닐(플라스틱),0,0,0,0,1,0
비닐류,1,0,0,0,0,0
비닐류로 분리배출,1,0,0,0,0,0
비닐봉지,1,0,0,0,1,0
"비닐봉지는 플라스틱, 과자봉지는 비닐",1,0,0,0,0,0
비닐봉지와 뽁뽁이,2,0,0,0,0,0
비닐봉투,2,0,0,0,1,0
비스킷 상자,0,0,0,0,2,0
비타민C 상자,0,0,0,0,1,0
빈 종이 상자,0,0,0,0,1,0
빈 페트병,0,0,0,0,1,0
빗,1,0,0,0,0,0
빨간 무늬가 있는 플라스틱 쟁반,1,0,0,0,0,0
빨간 빨대가 꽂힌 투명 컵,0,0,0,0,2,0
빨간 수레 왼쪽 앞부분,0,0,0,1,0,0
빨간 쓰레받기,1,0,0,0,0,0
빨간 플라스틱 쓰레받기,1,0,0,0,0,0
빨간색,0,25,0,0,0,0
빨간색 brrr 콜라 캔,0,0,0,0,1,0
빨간색 과자 상자,0,0,0,0,2,0
빨간색 뚜껑이 있는 쓰레기통,0,0,0,0,1,0
빨간색 띠가 감긴 흰색 용기,0,0,0,0,1,0
빨간색 벽돌 모양 바닥 중앙,0,0,0,1,0,0
빨간색 비닐봉투,0,0,0,0,1,0
빨간색 빨대,0,0,0,0,1,0
"빨간색 상자, 파란색 상자, 갈색 상자",0,1,0,0,0,0
빨간색 에너지 음료 캔,0,0,0,0,1,0
빨간색 원통형 포장지,0,0,0,0,1,0
빨간색 음료 용기와 뚜껑,0,0,0,0,1,0
빨간색 음료 캔,0,0,0,0,2,0
빨간색 종이 띠,0,0,0,0,1,0
빨간색 캔,1,0,0,0,0,0
빨간색 캔 음료,0,0,0,0,1,0
빨간색 플라스틱 뚜껑이 있는 금속 용기,0,0,0,0,1,0
빨간색 플라스틱 의자,1,0,0,0,0,0
"빨간색, 흰색, 파란색, 초록색",0,1,0,0,0,0
빨간색과 갈색,0,1,0,0,0,0
빨간색과 노란색 글자가 적힌 종이 띠,0,0,0,0,1,0
빨간색과 은색,0,1,0,0,0,0
빨간색과 초록색 상자,0,0,0,0,1,0
빨간색과 흰색이 그라데이션된 종이컵,0,0,0,0,1,0
빨간색과 흰색이 섞인 용기,0,0,0,0,1,0
빨대,2,0,0,0,4,0
빨대가 꽂힌 투명 플라스틱 컵,2,0,0,0,0,0
빨대와 컵 뚜껑,1,0,0,0,1,0
빨대와 투명 컵,0,0,0,0,2,0
빨대와 흰색 뚜껑,0,0,0,0,1,0
빼빼로 상자,0,0,0,0,2,0
뽁뽁이(에어캡),0,0,0,0,2,0
사각형 플라스틱 트레이,1,0,0,0,0,0
사과 주스 캔,1,0,0,0,1,0
사과맛,0,0,0,0,0,1
사과맛 사이다 캔,1,0,0,0,0,0
사무용 메쉬 의자 포장 상자,0,0,0,0,0,1
사진 중앙 오른쪽 바닥에 쌓여 있음,0,0,0,1,0,0
사진 중앙과 오른쪽 바닥에 쌓여 있다,0,0,0,1,0,0
삼성 복사용지 박스,0,0,0,0,1,0
삼성 쇼핑백,1,0,0,0,0,0
삼양 불닭볶음면,2,0,0,0,0,0
상자 모양의 포장지,0,0,0,0,1,0
생수,1,0,0,0,0,0
생수 페트병,0,0,0,0,1,0
생수병,1,0,0,0,2,0
서울우유,1,0,0,0,0,0
서울우유 100%,0,0,0,0,0,1
소주병,1,0,0,0,0,1
소주병과 맥주병,2,0,0,0,0,0
소주병과 플라스틱 음료병,1,0,0,0,0,0
손 세정제 용기,0,0,0,0,1,0
손에 들린 음료 종이팩,0,0,0,1,0,0
숟가락과 젓가락,0,0,0,0,1,0
술병,1,0,0,0,0,0
슈퍼 사워 웜스 박스,0,0,0,0,1,0
스킨케어용 튜브형 용기,1,0,0,0,0,0
스타벅스 음료 운반용 박스,0,0,0,0,1,0
스타벅스 음료 운반용 종이 케이스,0,0,0,0,2,0
스타벅스 종이컵 케이스,0,0,0,0,1,0
스타벅스 종이컵 홀더,0,0,0,0,1,0
스탠리 텀블러의 뚜껑,0,0,0,0,1,0
스테인리스 컵,1,0,0,0,0,0
스티로폼,1,0,0,0,26,0
스티로폼 박스,4,0,0,0,0,0
스티로폼 상자 옆에 투명 비닐봉지 안에 모여 있다.,0,0,0,1,0,0
스티로폼 용기 3개,1,0,0,0,0,0
스티로폼 재질 용기,0,0,0,0,1,0
스팸 캔,0,0,0,0,3,0
스팸 통조림,0,0,0,0,1,0
시리얼 상자,0,0,0,0,1,0
신문과 종이박스,0,0,0,0,0,1
신문지,3,0,0,0,1,0
신문지와 골판지 박스,0,0,0,0,1,0
쓰레기 봉투 옆에 놓여 있다,0,0,0,1,0,0
쓰레기봉투 옆 바닥에 있다,0,0,0,1,0,0
쓰레기통 옆에 기대어 있다,0,0,0,1,0,0
아몬드 브리즈 팩,0,0,0,0,0,1
아보카도,1,0,0,0,0,0
아이스 커피 컵과 뚜껑,0,0,0,0,1,0
안경 케이스,1,0,0,0,0,0
알루미늄 음료 캔,3,0,0,0,1,0
알루미늄 캔,50,0,0,0,16,1
알루미늄 캔 - 금속류,1,0,0,0,0,0
알루미늄 캔 1개,2,0,0,0,0,0
"알루미늄 캔 1개, 플라스틱 병 1개",0,0,3,0,0,0
알루미늄 캔 2개,10,0,0,1,0,0
알루미늄 캔 3개,1,0,0,0,0,0
알루미늄 캔 두 개,1,0,0,0,0,0
"알루미늄 캔은 금속, 골판지 상자는 종이",0,0,0,0,1,0
"알루미늄 캔은 캔류, 플라스틱 컵은 플라스틱류로 분리 배출한다.",1,0,0,0,0,0
알루미늄 포장지,0,0,0,0,1,0
알루미늄 호일,0,0,0,0,1,0
알약 포장지,2,0,0,0,0,0
앞쪽 쓰레기통,0,0,0,0,0,1
약 40개,0,0,1,0,0,0
얼음,0,0,0,0,0,3
얼음 조각,1,0,0,0,0,0
없음,0,0,1,0,1,0
에너지 드링크 캔,1,0,0,0,0,0
에너지 음료 캔,1,0,0,0,1,0
에어캡(뽁뽁이),0,0,0,0,1,0
에클립스 캔디 케이스,0,0,0,0,1,0
열쇠고리,1,0,0,0,0,0
영양소 파이 상자,0,0,0,0,1,0
오뚜기 카레 소스 상자,0,0,0,0,1,0
오뜨 치즈 과자 상자,0,0,0,0,1,0
오렌지 주스와 사과 주스,1,0,0,0,0,0
오렌지색 상자,0,0,0,0,1,0
오렌지색 종이 포장지,0,0,0,0,1,0
오른쪽 가스레인지 위,0,0,0,1,0,0
오른쪽 나뭇가지 아래,0,0,0,1,0,0
오른쪽 바닥에 쌓여 있다,0,0,0,1,0,0
오른쪽 아래 칸,0,0,0,1,0,0
오른쪽 음료팩,0,0,0,0,0,1
오른쪽의 TEAZLE 음료 병,0,0,0,0,1,0
옥수수 통조림 캔,1,0,0,0,1,0
옥수수염차,1,0,0,0,0,0
올리브 오일 병,1,0,0,0,0,0
완전히 접혀서 평평한 상태,1,0,0,0,0,0
"왼쪽 4L, 오른쪽 4L",0,0,0,0,0,1
왼쪽 바닥에 쌓여 있는 상자들 위,0,0,0,1,0,0
"왼쪽 병은 파란색, 오른쪽 병은 초록색 뚜껑이다.",0,1,0,0,0,0
"왼쪽 상자는 종이 재질, 오른쪽 상자는 종이 재질이다.",0,0,0,0,1,0
왼쪽 컵,0,0,0,0,1,0
"왼쪽 컵 1개, 오른쪽 컵 1개",0,0,1,0,0,0
"왼쪽 컵의 빨대는 플라스틱, 오른쪽 컵의 빨대는 종이",0,0,0,0,1,0
왼쪽 흰색 망,0,0,0,0,1,0
왼쪽 흰색 바구니,0,0,0,1,0,0
왼쪽에 있는 투명 컵,0,0,0,0,1,0
왼쪽의 골판지 조각,0,0,0,0,1,0
요거트 용기,1,0,0,0,0,0
우동 용기,0,0,0,0,1,0
우생장갑 상자,0,0,0,0,1,0
우유,1,0,0,0,0,1
우유팩,1,0,0,1,1,0
운동화 상자,0,0,0,0,1,0
위 세 가지 모두,1,0,0,0,2,0
유리,1,0,0,0,49,0
유리 물병,1,0,0,0,0,0
유리 병,9,0,0,0,5,0
유리 접시,1,0,0,0,0,0
유리 컵,0,0,0,0,1,0
유리병,28,0,0,2,10,0
"유리병 1개, 종이팩 1개",0,0,1,0,0,0
"유리병 1개, 플라스틱 병 1개",0,0,2,0,0,0
"유리병 1개, 플라스틱병 1개",0,0,1,0,0,0
유리병 재활용,1,0,0,0,0,0
유리병과 캔,1,0,0,0,0,0
유리병과 플라스틱 병,1,0,0,0,0,0
유리병과 플라스틱 용기,1,0,0,0,0,0
유리와 플라스틱,0,0,0,0,1,0
유리컵,1,0,0,0,2,0
은박 포장재가 있는 상자 안,0,0,0,1,0,0
은박 포장지 조각,0,0,0,0,0,1
은박지 포장지,1,0,0,0,0,0
은색 바탕에 분홍색 손잡이,0,1,0,0,0,0
은색과 분홍색 포장재,0,0,0,0,1,0
은색과 주황색 그릇,0,0,0,0,1,0
음료 캔,1,0,0,0,13,0
음료 캔 뚜껑,0,0,0,0,1,0
음료 컵 뚜껑,0,0,0,0,1,0
음료 컵 홀더,0,0,0,0,1,0
음료 컵과 뚜껑,1,0,0,0,4,0
음료 컵과 빨대,0,0,0,0,1,0
음료 컵의 겉면 포장지,0,0,0,0,1,0
음료 페트병,1,0,0,0,0,0
음료가 담긴 투명 컵과 뚜껑,0,0,0,0,3,0
음료가 담긴 투명 컵과 빨대,1,0,0,0,1,0
음료가 담긴 투명 플라스틱 컵,2,0,0,0,3,0
음료가 담긴 투명 플라스틱 컵과 빨대,0,0,0,0,1,0
음료가 담긴 투명한 플라스틱 컵,0,0,0,0,1,0
음료가 담긴 플라스틱 컵,1,0,0,0,0,0
음료수 PET 병,0,0,0,0,1,0
음료수 병,1,0,0,0,3,0
음료수 종이 상자,0,0,0,0,1,0
음료수 캔,2,0,0,0,5,0
음료수 캔과 맥주 캔,1,0,0,0,0,0
음료수 캔과 빈 통조림 캔,0,0,0,0,1,0
음료수 캔과 식품 캔,1,0,0,0,0,0
음료수 컵과 빨대,0,0,0,0,1,0
음료수 페트병,0,0,0,0,3,0
음식 포장 상자,0,0,0,0,1,0
이클립스 껌 상자,1,0,0,0,0,0
인도 위,0,0,0,1,0,0
인쇄된 문서,1,0,0,0,0,0
인쇄된 안내문,1,0,0,0,0,0
일회용 마스크,1,0,0,0,0,0
일회용 커피 컵 뚜껑,1,0,0,0,0,0
잎사귀 그림이 그려진 액자,0,0,0,0,1,0
작은 흰색 뚜껑이 있는 병,0,0,0,0,1,0
전구,1,0,0,0,0,0
전단지와 광고지,1,0,0,0,0,0
